eventID,occurrenceID,basisOfRecord,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,scientificName,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,recordedBy,type,ownerInstitutionCode
N1Stream,,Kicksampling,4,4,,present,,Animalia,Arthropoda,Insecta,ephemeroptera,baetidae,,,,,,,
N1Stream,,Kicksampling,3,3,,present,,Animalia,Arthropoda,Insecta,plecoptera,,,,,,,,
N1Stream,,Kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,diptera,simuliidae,,,,,,,
N1Stream,,Kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,trichoptera,philopotamidae,,,,,,,
N1Stream,,Kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,ephemeroptera,heptageniidae (synonym: ecdyonuridae),,,,,,,
N2Stream,,Kicksampling,3,3,,present,,Animalia,Arthropoda,Insecta,ephemeroptera,baetidae,,,,,,,
N2Stream,,Kicksampling,4,4,,present,,Animalia,Arthropoda,Insecta,plecoptera,,,,,,,,
N2Stream,,Kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,diptera,dixidae,,,,,,,
N3Stream,,Kicksampling,3,3,,present,,Animalia,Arthropoda,Insecta,ephemeroptera,baetidae,,,,,,,
N3Stream,,Kicksampling,4,4,,present,,Animalia,Arthropoda,Insecta,plecoptera,,,,,,,,
N3Stream,,Kicksampling,3,3,,present,,Animalia,Arthropoda,Insecta,diptera,simuliidae,,,,,,,
N3Stream,,Kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,coleoptera,,,,,,,,
N4Stream,,Kicksampling,4,4,,present,,Animalia,Arthropoda,Insecta,ephemeroptera,baetidae,,,,,,,
N4Stream,,Kicksampling,2,2,,present,,Animalia,Arthropoda,Insecta,plecoptera,,,,,,,,
N4Stream,,Kicksampling,3,3,,present,,Animalia,Arthropoda,Insecta,diptera,simuliidae,,,,,,,
N4Stream,,Kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,trichoptera,philopotamidae,,,,,,,
N4Stream,,Kicksampling,1,1,,present,,Animalia,Nematomorpha,Gordioida,gordioidea,,,,,,,,
N4Stream,,Kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,trichoptera,leptoceridae,,,,,,,
N4Stream,,Kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,diptera,dixidae,,,,,,,
N5Stream,,Kicksampling,3,3,,present,,Animalia,Arthropoda,Insecta,ephemeroptera,baetidae,,,,,,,
N5Stream,,Kicksampling,3,3,,present,,Animalia,Arthropoda,Insecta,plecoptera,,,,,,,,
N5Stream,,Kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,diptera,simuliidae,,,,,,,
N5Stream,,Kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,trichoptera,philopotamidae,,,,,,,
N5Stream,,Kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,ephemeroptera,heptageniidae (synonym: ecdyonuridae),,,,,,,
S1Marsh,,Kicksampling,1,1,,present,,Animalia,Arthropoda,Insetca,diptera,,,,,,,,
S1Marsh,,Kicksampling,1,1,,present,,Animalia,Arthropoda,Insetca,odonata,,,,,,,,
S1Stream,,Kicksampling,1,1,,present,,Animalia,Arthropoda,Insetca,Coleoptera,,,,,,,,
S1Stream,,Kicksampling,5,5,,present,,Animalia,Annelida,Clitellata,oligochaete,,,,,,,,
S1Stream,,Rock rubbing,1,1,,present,,Animalia,Arthropoda,Insetca,coleoptera,,,,,,,,
S2Marsh,,Kicksampling,1,1,,present,,Animalia,Arthropoda,Insetca,trichoptera,,,,,,,,
S2Marsh,,Kicksampling,1,1,,present,,Animalia,Arthropoda,Insetca,odonata,,,,,,,,
S2Stream,,Kicksampling,1,1,,present,,Animalia,Arthropoda,Insetca,colepotera,hydrophilidae,,,,,,,
S2Stream,,Kicksampling,1,1,,present,,Animalia,Arthropoda,Insetca,plecoptera,capniidae,,,,,,,
S3Marsh,,Kicksampling,3,3,,present,,Animalia,Arthropoda,Insetca,odonata,,,,,,,,
S3Marsh,,Kicksampling,2,2,,present,,Animalia,Arthropoda,Insetca,ephemeroptera,,,,,,,,
S3Stream,,Kicksampling,1,1,,present,,Animalia,Arthropoda,Insetca,diptera,,,,,,,,
S4Marsh,,Kicksampling,1,1,,present,,Animalia,Arthropoda,Insetca,diptera,,,,,,,,
S4Marsh,,Kicksampling,1,1,,present,,Animalia,Arthropoda,Insetca,coleoptera,,,,,,,,
S4Marsh,,Kicksampling,2,2,,present,,Animalia,Annelida,Clitelatta,oligochaete,,,,,,,,
S4Marsh,,Kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,ephemeroptera,,,,,,,,
S4Stream ,,Kicksampling,1,1,,present,,Animalia,Annelida,Clitellata,oligochaete,,,,,,,,
S4Stream ,,Kicksampling,1,1,,present,,Animalia,Arthropoda,Insetca,plecoptera,capniidae,,,,,,,
S5Marsh,,Kicksampling,1,1,,present,,Animalia,Annelida,Clitellata,oligochaete,,,,,,,,
S5Marsh,,Kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,odonata,,,,,,,,
S5Marsh,,Kicksampling,3,3,,present,,Animalia,Arthropoda,Insecta,coleoptera,,,,,,,,
S5Stream,,Kicksampling,4,4,,present,,Animalia,Arthropoda,Insetca,diptera,,,,,,,,
S5Stream,,Rock rubbing,1,1,,present,,Animalia,Arthropoda,Insetca,trichoptera,,,,,,,,
S5Stream,,Kicksampling,1,1,,present,,Animalia,Arthropoda,Insetca,coleoptera,,,,,,,,
S5Stream,,Rock rubbing,1,1,,present,,Animalia,Arthropoda,Insetca,plecoptera,capniidae,,,,,,,
S6Marsh,,Kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,odonata,,,,,,,,